745,1577
745,1898
746,1459
747,1429
748,1813
749,2019
749,1514
751,1986
751,1509
752,1927
755,1852
757,1424
757,1437
759,1560
761,1443
764,1936
765,1621
769,1851
769,1599
770,2023
771,1442
773,1833
774,1838
775,1605
777,1915
777,1453
779,1818
780,1833
784,1830
785,1817
786,1577
791,1817
791,1773
794,2023
794,1833
795,1448
795,1944
800,1818
801,2066
801,1913
802,1653
803,1398
810,1565
810,1502
811,1788
814,1460
814,1818
815,1818
816,1722
817,1640
818,2080
818,2102
820,1464
824,1399
827,1577
829,1833
831,2071
834,1852
835,1474
836,1766
837,1818
839,1593
849,1760
851,1541
852,1449
854,1733
855,1778
858,2023
858,1833
859,1425
860,1979
863,1818
866,1681
867,1508
869,2017
870,2010
872,1413
874,1584
874,1818
875,1716
879,1399
880,1852
882,1627
883,1528
884,1857
885,2034
885,1837
889,1884
892,1805
897,1550
899,2098
900,1818
902,2017
907,2017
907,1564
908,1466
909,1645
912,1818
913,1818
913,1437
914,1525
915,1599
916,1529
916,1818
918,1395
920,1858
920,1517
921,1414
923,1444
924,1832
926,2080
926,2087
927,1449
929,1804
931,1823
932,1435
933,1957
935,1395
935,1609
937,1414
940,1833
941,1790
944,1451
945,1499
948,1395
949,1859
950,1833
951,1467
952,1508
954,1832
954,1818
955,1605
955,2071
956,1535
957,1717
957,1718
958,1628
959,1789
960,1746
960,1737
962,1564
966,1837
967,1542
971,1817
972,1833
973,1459
974,1834
975,1402
976,2102
977,1833
978,1859
981,1490
982,1906
982,2087
985,1982
986,1424
986,1533
987,1863
987,2044
989,1823
992,1818
993,1818
993,1563
994,2089
996,1681
996,1614
998,1818
999,1817
1000,1818
1003,1426
1005,1662
1006,1747
1007,1857
1008,1587
1011,1838
1012,1518
1013,1552
1013,1888
1015,2026
1017,1700
1017,1485
1018,1655
1019,1599
1021,1471
1023,1673
1024,1410
1026,2079
1027,1825
1027,1433
1029,1467
1030,1849
1032,2017
1032,1849
1033,1596
1040,2071
1041,1809
1042,1810
1043,1937
1044,1969
1044,1604
1045,1741
1048,1424
1048,1645
1049,1780
1051,2017
1052,1883
1053,1560
1055,1442
1056,1896
1060,1763
1060,1701
1061,2102
1062,1764
1062,1961
1063,1686
1066,1857
1068,1830
1070,2067
1074,1454
1076,1670
1076,1818
1077,1628
1078,1830
1080,2016
1081,1422
1082,1835
1083,1877
1085,1841
1087,1405
1089,1510
1092,1826
1095,2021
1099,1613
1100,1835
1101,1408
1103,1877
1104,1866
1106,1453
1107,1440
1107,2080
1109,1395
1110,2039
1115,1772
1119,1443
1121,1579
1122,1512
1123,1435
1124,1754
1124,1818
1131,1796
1132,1459
1140,2099
1140,1624
1141,1835
1143,1894
1143,1834
1144,1410
1144,1877
1145,1830
1149,1489
1150,1848
1151,1525
1152,2007
1152,1629
1159,1464
1167,1835
1172,1477
1174,1786
1175,1982
1177,1490
1180,1830
1181,2065
1181,2071
1183,2071
1185,1832
1187,1525
1188,2003
1191,1410
1191,1877
1195,1818
1197,1688
1198,1395
1199,1866
1200,1402
1201,1505
1202,1444
1205,1708
1207,1715
1208,1835
1209,1833
1210,1830
1211,1435
1217,2001
1218,1525
1222,1817
1224,1494
1224,1863
1230,1576
1231,1790
1232,1817
1232,1935
1235,1402
1236,1466
1238,1505
1238,1817
1244,1879
1245,1691
1246,2057
1246,1871
1248,1977
1249,1818
1252,1606
1255,1640
1256,1817
1259,2017
1259,1414
1260,1818
1261,1434
1261,1820
1265,2051
1265,2071
1272,1405
1277,1877
1277,1599
1280,2004
1281,1817
1286,1442
1290,1399
1292,1580
1297,1852
1300,1579
1304,1466
1305,2067
1315,1425
1315,1481
1317,1448
1326,1857
1326,1658
1334,1422
1340,1818
1342,1600
1351,1587
1359,1818
1361,1802
1395,1827
1395,948
1395,1109
1395,918
1395,935
1395,1198
1396,2033
1396,2072
1398,803
1399,824
1399,1290
1399,879
1400,1818
1402,1200
1402,1235
1402,975
1405,1272
1405,1912
1405,1994
1405,1087
1405,2015
1408,1101
1410,1024
1410,1923
1410,1877
1410,1973
1410,1191
1410,1144
1411,2080
1411,2017
1411,1881
1413,872
1413,1818
1414,2017
1414,1860
1414,937
1414,921
1414,1259
1415,1906
1415,1818
1415,1980
1418,2102
1418,2071
1421,1817
1422,1334
1422,1081
1424,757
1424,1048
1424,986
1424,1818
1425,1315
1425,1941
1425,1818
1425,859
1425,2013
1426,1003
1427,2035
1428,2099
1428,1830
1429,1920
1429,747
1431,1833
1433,1825
1433,1027
1434,1818
1434,1820
1434,1261
1435,1953
1435,1123
1435,932
1435,1830
1435,1211
1436,1922
1437,913
1437,2017
1437,757
1437,1818
1438,1827
1439,1974
1440,2080
1440,1107
1440,2067
1440,2088
1440,1947
1441,2101
1441,2102
1442,771
1442,1286
1442,1055
1443,761
1443,1119
1444,1202
1444,1830
1444,923
1447,1833
1448,1317
1448,1877
1448,1944
1448,795
1449,1968
1449,852
1449,927
1451,944
1452,2017
1452,2102
1452,1863
1453,2065
1453,1106
1453,2071
1453,777
1453,1915
1454,1074
